1.0,9
2.0,206
3.0,2490
4.0,34
5.0,328
6.0,1308
7.0,107
8.0,421
9.0,1166
10.0,95
11.0,226
12.0,148
13.0,215
14.0,127
15.0,228
16.0,193
17.0,97
18.0,10
19.0,99
20.0,1258
21.0,154
22.0,114
23.0,79
24.0,103
25.0,378
26.0,43
27.0,2
28.0,58
29.0,222
30.0,260
31.0,780
32.0,739
33.0,351
34.0,106
35.0,270
36.0,93
37.0,868
38.0,597
39.0,33
40.0,32
41.0,23
42.0,128
43.0,71
44.0,402
45.0,298
46.0,1333
47.0,564
48.0,666
49.0,114
50.0,139
51.0,353
52.0,60
53.0,1092
54.0,247
55.0,165
56.0,114
57.0,153
58.0,285
59.0,267
60.0,543
61.0,102
62.0,4149
63.0,1533
64.0,179
65.0,248
66.0,30905
67.0,54
68.0,1
69.0,19
70.0,74
71.0,431
72.0,3
73.0,16
74.0,260
75.0,88
76.0,205
77.0,2
78.0,1
79.0,612
80.0,437
81.0,1947
82.0,236
83.0,216
84.0,939
85.0,393
86.0,691
87.0,1
88.0,1
89.0,174
90.0,623
91.0,436
92.0,418
93.0,776
94.0,23
95.0,11
96.0,39
97.0,453
98.0,102
99.0,85
100.0,596
101.0,926
102.0,1495
103.0,139
104.0,332
105.0,158
106.0,15
107.0,5
108.0,19
109.0,26
110.0,5
111.0,582
112.0,527
113.0,2184
114.0,854
115.0,75
116.0,105
117.0,65
118.0,84
119.0,16
120.0,4
121.0,109
122.0,379
123.0,255
124.0,261
125.0,274
126.0,150
127.0,124
128.0,27
129.0,543
130.0,168
131.0,77
132.0,1443
133.0,103
134.0,397
135.0,209
136.0,56
137.0,181
138.0,135
139.0,167
140.0,116
141.0,88
142.0,328
143.0,86
144.0,131
145.0,650
146.0,912
147.0,72
148.0,696
149.0,223
150.0,41
151.0,1058
152.0,453
153.0,228
154.0,43
155.0,272
156.0,202
157.0,550
158.0,13
159.0,86
160.0,7
161.0,2126
162.0,2
163.0,314
164.0,4
165.0,7
166.0,118
167.0,116
168.0,4
169.0,10
170.0,314
171.0,18
172.0,23
173.0,31
174.0,20
175.0,18
176.0,15
177.0,198
178.0,95
179.0,221
180.0,63
181.0,78
182.0,21
183.0,18
184.0,18
185.0,1
186.0,28
187.0,7
188.0,13
189.0,64
190.0,7
191.0,4
192.0,6
193.0,5
194.0,19
195.0,174
196.0,12
197.0,5
198.0,5
199.0,16
200.0,9
201.0,2
202.0,5
203.0,9
204.0,3
205.0,5
206.0,2
207.0,42
208.0,19
209.0,1
210.0,6
211.0,5
212.0,2
213.0,5
214.0,5
215.0,6
216.0,2
217.0,1
218.0,2
219.0,6
220.0,6
221.0,6
222.0,6
223.0,1
224.0,2
225.0,4
226.0,5
227.0,2
228.0,1
229.0,6
230.0,16
231.0,15
232.0,10
233.0,5
234.0,7
235.0,1
236.0,11
237.0,23
238.0,8
239.0,12
240.0,4
241.0,1
242.0,46
243.0,2
244.0,6
245.0,3
246.0,3
247.0,22
248.0,2
249.0,1
250.0,14
251.0,3
252.0,2
253.0,3
254.0,6
255.0,6
256.0,4
257.0,2
258.0,7
259.0,3
260.0,3
261.0,5
262.0,1
263.0,7
264.0,2
265.0,2
266.0,1
267.0,11
268.0,3
269.0,1546
270.0,101
271.0,71
272.0,291
273.0,197
274.0,453
275.0,115
276.0,34
277.0,11
278.0,344
279.0,58
280.0,49
281.0,87
282.0,392
283.0,39
284.0,6
285.0,2
286.0,47
287.0,7
288.0,77
289.0,86
290.0,130
291.0,185
292.0,4
293.0,13
294.0,51
295.0,13
296.0,10
297.0,15
298.0,5
299.0,3
300.0,2
301.0,10
302.0,6
303.0,3
304.0,5
305.0,32
306.0,7
307.0,4
308.0,5
309.0,5
310.0,9
311.0,6
312.0,12
313.0,1
314.0,1
315.0,6
316.0,10
317.0,3
318.0,19
319.0,4
320.0,21
321.0,5
322.0,2
323.0,11
324.0,3
325.0,2
326.0,11
327.0,2
328.0,2
329.0,1
330.0,1
331.0,1
332.0,3
333.0,3
334.0,1
335.0,2
336.0,2
337.0,1
338.0,2
339.0,1
340.0,1154
341.0,12
342.0,606
343.0,47
344.0,1
345.0,25
346.0,17
347.0,10
348.0,5
349.0,2
350.0,5
351.0,2
352.0,3
353.0,3
354.0,17
355.0,1
356.0,1
357.0,10
358.0,98
359.0,1
360.0,433
361.0,5
362.0,3
363.0,8
364.0,21
365.0,2
366.0,86
367.0,3
368.0,36
369.0,43
370.0,21
371.0,21
372.0,54
373.0,35
374.0,262
375.0,72
376.0,18
377.0,3
378.0,15
379.0,11
380.0,3
381.0,108
382.0,19
383.0,6
384.0,12
385.0,13
386.0,6
387.0,8
388.0,11
389.0,4
390.0,7
391.0,549
392.0,59
393.0,8
394.0,80
395.0,221
396.0,53
397.0,126
398.0,67
399.0,5
400.0,17
401.0,3
402.0,4
403.0,2
404.0,2
405.0,3
406.0,4
407.0,64
408.0,45
409.0,64
410.0,28
411.0,1
412.0,1
413.0,1
414.0,1
415.0,1
416.0,2
417.0,4
418.0,23
419.0,10
420.0,4
421.0,6
422.0,2
423.0,14
424.0,1
425.0,1
426.0,3
427.0,1
428.0,14
429.0,1
430.0,1
431.0,3
432.0,9
433.0,1
434.0,1
435.0,1
436.0,1
437.0,64
438.0,3
